participants;roles;distance1;distance2;distance3;average_distance;time1;time2;time3;average_flying_time;learning_time;feedback_percentage
1;Teacher;180;270;360;270;1,17;2,14;2,33;1,88;4;NA
2;Student;405;420;540;455;0,92;2,4;1,07;1,46;5,65;13,4
3;Teacher;760;430;430;540;2,66;2,23;2,23;2,37;7,75;NA
4;Student;420;240;280;313,33;1,8;1,97;1,46;1,74;8,42;26,28
5;Teacher;540;580;410;510;2,17;2,17;1,17;1,84;10,83;NA
6;Student;310;230;580;373,33;2,11;1,52;2,62;2,08;5,77;20,83
7;Teacher;220;450;210;293,33;1,41;2,18;1,78;1,79;4,43;NA
8;Student;500;550;230;426,66;2,42;2,15;2,2;2,26;11,28;20
9;Teacher;580;610;480;556,67;2,23;2,6;1,92;2,25;5,53;NA
10;Student;410;430;520;453,33;2,04;2,03;2,04;2,04;6,17;34,14
11;Teacher;770;530;1190;830;3,47;2,37;3,9;3,25;10;NA
12;Student;920;1100;790;936,67;4,13;4,65;2,79;3,86;5,45;85,71
13;Teacher;410;270;340;340;1,02;1,57;1,84;1,48;11;NA
14;Student;640;850;660;716,67;3,03;3,52;2,89;3,15;5,42;42,1
15;Teacher;260;300;220;260;3,25;2,85;2,9;3;4,8;NA
16;Student;320;320;300;313,33;2,82;2,35;2,55;2,57;6,72;34,37
17;Teacher;440;140;340;306,67;2,78;2,7;2,82;2,77;6,5;NA
18;Student;260;550;210;340;3,15;2,63;2,55;2,78;3,57;21,95
19;Teacher;1180;740;980;966,67;4,73;3,45;3,75;3,98;4,3;NA
20;Student;280;270;600;383,33;1,24;1,02;1,89;1,38;9,88;44,66
